"rank","property_id","address","latitude","longitude","price","currency","bathrooms","bedrooms","area","land_area","zestimate","rent_zestimate","days_on_zillow","sold_date","is_zillow_owned","image","listing_type","broker_name","input","property_url","listing_url"
"552","66658813","7120 Shoreline Dr UNIT 2314, San Diego, CA 92122","32.863552","-117.20042","686686.0","USD","2.0","2.0","848.0 sqft","","686700","3200","","","False","https://photos.zillowstatic.com/fp/95d998adcf5f2dd9eea98802b188f484-p_e.jpg","Coming soon","Century 21 Award","https://www.zillow.com/homes/San-Diego,-CA_rb/","https://www.zillow.com/homedetails/7120-Shoreline-Dr-UNIT-2314-San-Diego-CA-92122/66658813_zpid/","https://www.zillow.com/san-diego-ca/14_p/"
"609","16951136","4324 Randolph St, San Diego, CA 92103","32.75705","-117.17699","3695000.0","USD","5.0","5.0","3610.0 sqft","","","","","","False","https://photos.zillowstatic.com/fp/829395674bbbc2f2af81fb07ea7edc75-p_e.jpg","House for sale","Compass","https://www.zillow.com/homes/San-Diego,-CA_rb/","https://www.zillow.com/homedetails/4324-Randolph-St-San-Diego-CA-92103/16951136_zpid/","https://www.zillow.com/san-diego-ca/16_p/"
"645","333879500","4234 4th Ave, San Diego, CA 92103","32.754467","-117.16168","1299900.0","USD","3.0","3.0","2104.0 sqft","","1299902","5088","","","False","https://photos.zillowstatic.com/fp/1cf01a326c3c07220f4a56a67da54085-p_e.jpg","Townhouse for sale","Coldwell Banker West","https://www.zillow.com/homes/San-Diego,-CA_rb/","https://www.zillow.com/homedetails/4234-4th-Ave-San-Diego-CA-92103/333879500_zpid/","https://www.zillow.com/san-diego-ca/17_p/"
"384","82937659","2003 Bayview Heights Dr SPACE 196, San Diego, CA 92105","32.728695","-117.069626","349000.0","USD","2.0","3.0","1427.0 sqft","","356693","3594","60","","False","https://photos.zillowstatic.com/fp/b6ba35c6679f4ed0ee03ca97c620a122-p_e.jpg","Home for sale","Real Estate People","https://www.zillow.com/homes/San-Diego,-CA_rb/","https://www.zillow.com/homedetails/2003-Bayview-Heights-Dr-SPACE-196-San-Diego-CA-92105/82937659_zpid/","https://www.zillow.com/san-diego-ca/10_p/"
"646","16854758","6204 Beaumont Ave, La Jolla, CA 92037","32.823605","-117.274055","4875000.0","USD","4.0","5.0","3327.0 sqft","","4710674","18430","57","","False","https://photos.zillowstatic.com/fp/cb1282a5622ee1904568b7fa2995a430-p_e.jpg","House for sale","Compass","https://www.zillow.com/homes/San-Diego,-CA_rb/","https://www.zillow.com/homedetails/6204-Beaumont-Ave-La-Jolla-CA-92037/16854758_zpid/","https://www.zillow.com/san-diego-ca/17_p/"
"678","2070904998","3741-43 52nd St, San Diego, CA 92105","32.747","-117.08343","759900.0","USD","","","","","749700","1996","","","False","https://photos.zillowstatic.com/fp/6913dced5f8b8697f52236be753b6919-p_e.jpg","Multi-family home for sale","West Coast Properties","https://www.zillow.com/homes/San-Diego,-CA_rb/","https://www.zillow.com/homedetails/3741-43-52nd-St-San-Diego-CA-92105/2070904998_zpid/","https://www.zillow.com/san-diego-ca/17_p/"
"166","16861493","4216-18 Bannock Ave, San Diego, CA 92117","32.83154","-117.200775","975000.0","USD","2.0","4.0","1496.0 sqft","","975000","3073","","","False","https://photos.zillowstatic.com/fp/8eea63f3bd55f6b2f4484d35c785e1e0-p_e.jpg","Multi-family home for sale","Halcyon","https://www.zillow.com/homes/San-Diego,-CA_rb/","https://www.zillow.com/homedetails/4216-18-Bannock-Ave-San-Diego-CA-92117/16861493_zpid/","https://www.zillow.com/san-diego-ca/5_p/"
"43","140423799","702 Ash St UNIT 308, San Diego, CA 92101","32.72028","-117.15791","575000.0","USD","2.0","2.0","1063.0 sqft","","560600","3298","","","False","https://photos.zillowstatic.com/fp/6646c4157cc71af30027e8e6ba4dcd23-p_e.jpg","Condo for sale","Keller Williams Realty","https://www.zillow.com/homes/San-Diego,-CA_rb/","https://www.zillow.com/homedetails/702-Ash-St-UNIT-308-San-Diego-CA-92101/140423799_zpid/","https://www.zillow.com/san-diego-ca/2_p/"
"259","16840708","8452 Via Sonoma UNIT 105, La Jolla, CA 92037","32.859444","-117.231964","889000.0","USD","3.0","2.0","1332.0 sqft","","906100","3558","","","False","https://photos.zillowstatic.com/fp/89bd728c7b2c937033f9e0113b8a7701-p_e.jpg","Townhouse for sale","Coldwell Banker Realty","https://www.zillow.com/homes/San-Diego,-CA_rb/","https://www.zillow.com/homedetails/8452-Via-Sonoma-UNIT-105-La-Jolla-CA-92037/16840708_zpid/","https://www.zillow.com/san-diego-ca/7_p/"
"709","17165430","3434 Del Sol Blvd APT J, San Diego, CA 92154","32.573795","-117.05942","599000.0","USD","2.0","4.0","1206.0 sqft","","610500","3158","9","","False","https://photos.zillowstatic.com/fp/a226acea2548e083b8d3aee20612ff08-p_e.jpg","Townhouse for sale","Active Realty","https://www.zillow.com/homes/San-Diego,-CA_rb/","https://www.zillow.com/homedetails/3434-Del-Sol-Blvd-APT-J-San-Diego-CA-92154/17165430_zpid/","https://www.zillow.com/san-diego-ca/18_p/"
"15","52522455","3186 Camino Aleta, San Diego, CA 92154","32.577377","-117.064896","669000.0","USD","2.0","3.0","1679.0 sqft","","623600","3292","","","False","https://photos.zillowstatic.com/fp/8b5127bf1d784692d2e285a996a5d190-p_e.jpg","House for sale","Coldwell Banker West","https://www.zillow.com/homes/San-Diego,-CA_rb/","https://www.zillow.com/homedetails/3186-Camino-Aleta-San-Diego-CA-92154/52522455_zpid/","https://www.zillow.com/homes/San-Diego,-CA_rb/"
"203","16993117","4615 Vista St, San Diego, CA 92116","32.76127","-117.10296","1499000.0","USD","2.0","3.0","1460.0 sqft","","","","","","False","https://photos.zillowstatic.com/fp/00750c43602db9a01cec3140c1520dc2-p_e.jpg","House for sale","Compass","https://www.zillow.com/homes/San-Diego,-CA_rb/","https://www.zillow.com/homedetails/4615-Vista-St-San-Diego-CA-92116/16993117_zpid/","https://www.zillow.com/san-diego-ca/6_p/"
"689","63776064","350 Nutmeg St UNIT 302, San Diego, CA 92103","32.73379","-117.16168","1049000.0","USD","2.0","2.0","1576.0 sqft","","1099900","4257","","","False","https://photos.zillowstatic.com/fp/55b200a3457b3f48b4ce545399069787-p_e.jpg","Condo for sale","Copernicus International Rlty.","https://www.zillow.com/homes/San-Diego,-CA_rb/","https://www.zillow.com/homedetails/350-Nutmeg-St-UNIT-302-San-Diego-CA-92103/63776064_zpid/","https://www.zillow.com/san-diego-ca/18_p/"
"775","2059528746","1658 Republic St, San Diego, CA 92114","32.723457","-117.06491","899000.0","USD","2.0","4.0","","","","","17","","False","https://photos.zillowstatic.com/fp/6613b2d7edd38b390c1b5310a0b8a253-p_e.jpg","Multi-family home for sale","eXp Realty of California, Inc.","https://www.zillow.com/homes/San-Diego,-CA_rb/","https://www.zillow.com/homedetails/1658-Republic-St-San-Diego-CA-92114/2059528746_zpid/","https://www.zillow.com/san-diego-ca/20_p/"
"425","67712358","2064 Kettner Blvd APT 38, San Diego, CA 92101","32.725765","-117.170296","689000.0","USD","1.0","1.0","625.0 sqft","","689006","2623","59","","False","https://photos.zillowstatic.com/fp/0716323b555aadb13c6ac64454fbe6a7-p_e.jpg","Condo for sale","Coldwell Banker West","https://www.zillow.com/homes/San-Diego,-CA_rb/","https://www.zillow.com/homedetails/2064-Kettner-Blvd-APT-38-San-Diego-CA-92101/67712358_zpid/","https://www.zillow.com/san-diego-ca/11_p/"
